"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"1400000US04013116800","Census Tract 1168, Maricopa County, Arizona","**","**","-","-",
"1400000US04013116900","Census Tract 1169, Maricopa County, Arizona","**","**","-","-",
"1400000US04013117000","Census Tract 1170, Maricopa County, Arizona","19514","null","26122","null",
"1400000US04013117100","Census Tract 1171, Maricopa County, Arizona","8610","null","50486","null",
"1400000US04013117200","Census Tract 1172, Maricopa County, Arizona","**","**","-","-",
"1400000US04013117300","Census Tract 1173, Maricopa County, Arizona","4893","null","4570","null",
"1400000US04013216806","Census Tract 2168.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216807","Census Tract 2168.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216809","Census Tract 2168.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216810","Census Tract 2168.10, Maricopa County, Arizona","662","null","14014","null",
"1400000US04013216813","Census Tract 2168.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216816","Census Tract 2168.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216818","Census Tract 2168.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216819","Census Tract 2168.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216820","Census Tract 2168.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216821","Census Tract 2168.21, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013216822","Census Tract 2168.22, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216826","Census Tract 2168.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216829","Census Tract 2168.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013216830","Census Tract 2168.30, Maricopa County, Arizona","4936","null","33513","null",
