"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","28","null","1352","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","28","null","1549","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","43","null","1418","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","43","null","1248","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","69","null","1554","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","13","null","741","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","22","null","1516","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","30","null","1284","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","35","null","842","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","55","null","1444","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","37","null","706","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","104","null","1508","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","77","null","1778","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","56","null","1590","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","58","null","749","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","86","null","1922","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","76","null","980","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","50","null","1263","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","89","null","1864","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","81","null","1599","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","40","null","1650","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","69","null","791","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","90","null","725","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","80","null","735","null",
